seed,Test RMSE,Test normalized RMSE,R_Square
1,454861.4480211951,0.042486328932424454,0.9807828269325753
1,448725.39723676234,0.041913191171227944,0.9812978066056978
1,464194.8591140534,0.043358116100754095,0.979986092187472
1,445023.93446162355,0.041567456078311596,0.9816050767457788
1,447913.7141138994,0.04183737591738113,0.9813654048532029
1,462144.88443579886,0.04316663823675317,0.9801624724709077
1,457798.5234764413,0.042760666435490056,0.9805338521571426
1,452281.4869829143,0.042245347697848316,0.9810002071967535
1,448349.91531431995,0.04187811928607595,0.9813290925436792
1,452312.0914015191,0.04224820630325725,0.9809976358012733
2,466413.86362877017,0.04356538219491294,0.9797942886790226
2,455736.2632823184,0.04256804104300424,0.9807088367417636
2,459964.83497298893,0.04296301073882202,0.9803491878923558
2,449414.35012979084,0.04197754280920362,0.9812403334972131
2,447634.3357825971,0.04181128058718347,0.9813886436080127
2,462026.66861520597,0.04315559628923141,0.980172619979782
2,451730.8322169631,0.042193913795027606,0.9810464437012097
2,449251.66231603664,0.04196234695561232,0.9812539130223147
2,462926.37970930105,0.04323963379483706,0.9800953245162555
2,455115.29631580465,0.04251003962980414,0.9807613715735716
